# FaultID,X,Y
 1, 399193.29,6461126.96
 1, 399173.35,6455721.12
 1, 396699.83,6449916.32
 1, 396639.98,6445946.71
 1, 395642.59,6443168.99
 1, 395602.70,6441134.32
 1, 397737.11,6434162.58
 1, 397916.64,6432222.66
 1, 399133.45,6429031.01
 1, 399392.77,6427674.57
 2, 396620.03,6445966.66
 2, 397098.78,6444829.64
 3, 397078.83,6444829.64
 3, 397517.68,6441857.42
 5, 399013.77,6432975.68
 5, 399332.93,6431778.82
 5, 400210.63,6429624.46
 6, 400230.58,6429624.46
 6, 400569.69,6427749.37
 7, 402524.57,6427629.68
 7, 401547.13,6430202.95
 7, 401567.08,6432097.98
 7, 402803.84,6441234.06
 7, 403601.75,6447727.05
 7, 403861.07,6453177.78
 7, 403801.23,6458389.13
 7, 403821.18,6460922.50
 9, 404579.19,6445602.62
 9, 404878.41,6452644.17
 9, 404639.03,6458508.82
