# FaultID,X,Y,Top Coal Seam
 1, 403881.11,6444039.97, 4
 1, 403811.50,6445135.46, 4
 2, 399692.38,6452807.23, 8
 2, 399424.09,6453662.89, 8
 3, 399532.37,6446775.68, 2
 3, 399462.87,6447851.83, 2
 4, 397782.65,6446842.49, 7
 4, 398061.75,6447682.77, 7
 5, 400818.27,6444752.62, 6
 5, 401007.99,6445229.78, 6
 6, 400453.81,6448675.67, 5
 6, 400282.32,6449801.48, 5
 7, 400563.16,6438432.25, 1
 7, 400379.33,6439082.11, 1
 8, 397938.87,6448531.37, 8
 8, 397882.52,6449403.37, 8
 9, 400233.91,6446524.39, 7
 9, 400429.73,6447704.84, 7
10, 399355.28,6443927.69, 6
10, 399515.74,6445108.74, 6
11, 400519.53,6439439.56, 8
11, 400690.52,6441025.86, 8
12, 399842.05,6446920.55, 7
12, 399961.87,6447458.66, 7
13, 404112.60,6447460.61, 9
13, 404065.73,6448140.45, 9
14, 400392.16,6448521.24, 7
14, 400524.88,6449222.77, 7
15, 400191.52,6443354.90, 5
15, 400101.63,6443877.03, 5
16, 403655.07,6437612.57, 6
16, 403550.00,6438820.18, 6
17, 402565.79,6449992.33,10
17, 402379.19,6450777.68,10
18, 398417.42,6442764.94,10
18, 398724.30,6443900.60,10
19, 399717.05,6455231.32, 2
19, 399953.97,6456052.25, 2
20, 399757.25,6442410.44, 9
20, 399761.31,6443125.48, 9
21, 401153.11,6451149.01, 5
21, 401166.96,6452132.44, 5
22, 401466.42,6454342.76, 8
22, 401479.48,6455047.76, 8
23, 402851.80,6456677.85, 5
23, 402875.41,6457850.40, 5
24, 403059.26,6449467.22, 5
24, 403243.63,6449987.07, 5
25, 404010.25,6442408.25,10
25, 404218.91,6442959.31,10
26, 401068.07,6450681.98, 2
26, 400845.10,6451428.81, 2
27, 401487.02,6455438.64, 5
27, 401218.06,6456224.99, 5
28, 402459.81,6444906.93, 5
28, 402403.73,6445739.31, 5
29, 403014.65,6450622.53, 7
29, 402989.00,6451130.52, 7
30, 403106.57,6440384.99, 8
30, 403218.84,6441394.43, 8
31, 400822.90,6451597.59, 2
31, 400938.19,6452184.70, 2
32, 399398.37,6447088.87, 4
32, 399014.96,6448435.10, 4
33, 401837.47,6453138.36, 6
33, 401870.88,6453994.45, 6
34, 399607.32,6448079.89, 8
34, 399512.80,6448733.97, 8
35, 399071.48,6445124.55, 9
35, 398970.57,6445639.31, 9
36, 404197.21,6448351.16, 1
36, 404009.19,6448884.07, 1
37, 399150.49,6442006.19,10
37, 399598.84,6443166.27,10
38, 400931.78,6454149.77, 9
38, 400880.75,6455109.06, 9
39, 402601.05,6449821.96, 7
39, 402514.36,6450403.93, 7
40, 399075.41,6443934.01, 2
40, 399156.01,6444846.15, 2
