# FaultID,X,Y,Top Coal Seam
 1, 399016.65,6442831.90, 1
 1, 398767.09,6443652.10, 1
 2, 398846.94,6446681.17, 3
 2, 398631.37,6447415.05, 3
 3, 403466.23,6442217.38, 9
 3, 403317.59,6443182.38, 9
 4, 402757.04,6445290.94, 6
 4, 402907.41,6445948.81, 6
 5, 401943.72,6454161.41, 6
 5, 401505.47,6455335.46, 6
 6, 400979.74,6440616.52, 6
 6, 400822.91,6441728.95, 6
 7, 399652.98,6445932.98, 3
 7, 399484.85,6446448.02, 3
 8, 399471.99,6438413.20, 1
 8, 399338.79,6439382.91, 1
 9, 398307.22,6442177.88, 7
 9, 397935.18,6443316.29, 7
10, 403413.73,6442064.87, 3
10, 403382.25,6442644.40, 3
11, 399336.39,6452681.49, 2
11, 399586.21,6453963.03, 2
12, 402418.45,6442839.57, 6
12, 402707.03,6443618.65, 6
13, 399838.86,6442215.92, 8
13, 400218.88,6443143.53, 8
14, 400910.52,6451556.91, 2
14, 400813.30,6452287.11, 2
15, 400487.13,6440768.81, 7
15, 401115.23,6442335.28, 7
16, 398847.11,6450909.81, 8
16, 398828.32,6451470.54, 8
17, 399545.56,6440561.09,10
17, 399659.09,6441701.65,10
18, 398660.24,6443315.50, 6
18, 398522.65,6444175.21, 6
19, 400448.44,6443197.09, 6
19, 400580.96,6444103.46, 6
20, 401599.53,6451825.64, 3
20, 401569.65,6452463.41, 3
21, 398867.59,6449725.99, 3
21, 399230.42,6451011.78, 3
22, 402195.28,6450322.60,10
22, 402008.02,6450828.73,10
23, 398054.76,6442616.14, 9
23, 398001.09,6443178.50, 9
24, 403103.76,6453863.02, 6
24, 402796.04,6454991.50, 6
25, 399122.13,6447004.27, 3
25, 398915.42,6447767.42, 3
26, 398671.84,6441627.18, 1
26, 398636.47,6443012.85, 1
27, 404369.16,6450876.86,10
27, 404086.02,6451633.88,10
28, 400542.76,6451850.45, 8
28, 400216.11,6452740.13, 8
29, 402332.73,6446181.64, 8
29, 402463.79,6446702.74, 8
30, 400469.54,6450102.94, 5
30, 400496.53,6451332.91, 5
31, 398121.08,6450008.87, 9
31, 397954.93,6450616.21, 9
32, 398566.89,6442344.60, 1
32, 398385.19,6442913.43, 1
33, 399342.65,6438652.92, 5
33, 399134.38,6439650.39, 5
34, 401174.27,6450487.95,10
34, 400834.98,6451410.71,10
35, 399250.07,6443324.62, 4
35, 399111.59,6443893.05, 4
36, 399871.65,6451949.97, 7
36, 399880.07,6452537.86, 7
37, 399742.35,6455574.75, 5
37, 400001.44,6456242.13, 5
38, 400247.64,6438595.98, 5
38, 400488.76,6439298.14, 5
39, 401269.93,6452112.61, 9
39, 401485.32,6453007.71, 9
40, 402903.77,6446682.53, 1
40, 403138.50,6447995.52, 1
