# FaultID,X,Y,Top Coal Seam
 1, 400587.66,6455652.06, 7
 1, 400522.08,6456164.15, 7
 2, 397535.60,6445621.06, 9
 2, 397581.48,6446502.64, 9
 3, 402468.24,6443831.25, 1
 3, 402558.68,6444891.47, 1
 4, 402729.87,6447218.34, 9
 4, 402978.40,6449038.15, 9
 5, 401535.97,6456595.87, 5
 5, 401534.29,6457161.30, 5
 6, 400733.95,6444357.05, 5
 6, 400618.69,6444929.19, 5
 7, 400435.74,6441687.23, 2
 7, 400289.26,6442573.37, 2
 8, 400205.89,6453286.35,10
 8, 399978.04,6454150.23,10
 9, 399814.29,6447828.19,10
 9, 399837.45,6448366.75,10
10, 400217.72,6452176.03, 5
10, 399882.19,6453137.20, 5
11, 401258.01,6455353.22, 4
11, 401425.53,6456088.70, 4
12, 403928.77,6441150.32, 2
12, 403772.76,6441674.54, 2
13, 403469.85,6440370.92, 4
13, 403460.15,6440973.94, 4
14, 397883.65,6449307.98, 8
14, 397700.92,6450630.95, 8
15, 401593.87,6446123.75, 2
15, 401643.92,6447033.88, 2
16, 404282.47,6447944.49, 8
16, 404591.30,6448710.92, 8
17, 399051.57,6439558.04, 5
17, 399215.83,6440046.00, 5
18, 399679.91,6437844.97, 3
18, 399509.91,6438533.51, 3
19, 404365.71,6446692.66, 9
19, 404090.01,6447504.03, 9
20, 402382.26,6449815.13,10
20, 402641.23,6450652.66,10
21, 398120.30,6440861.71, 1
21, 398174.60,6442144.48, 1
22, 399518.24,6446930.44, 6
22, 399485.52,6447646.51, 6
23, 402939.07,6456164.95, 8
23, 402550.50,6457439.41, 8
24, 400133.64,6456577.13,10
24, 400038.81,6457592.08,10
25, 400845.98,6450889.30, 1
25, 400593.76,6451811.28, 1
26, 402602.72,6452039.89, 8
26, 402416.87,6452942.07, 8
27, 398955.47,6450985.76, 4
27, 399347.83,6452069.84, 4
28, 402675.23,6454392.27, 4
28, 402425.37,6455528.87, 4
29, 401651.92,6456278.81, 2
29, 401544.98,6456849.55, 2
30, 399286.22,6453232.80, 2
30, 399448.64,6453714.42, 2
31, 403062.43,6446694.65, 9
31, 402902.45,6447728.16, 9
32, 400614.81,6450883.75, 9
32, 400717.56,6451436.92, 9
33, 403546.88,6440605.59, 9
33, 403680.97,6441141.73, 9
34, 402852.45,6456129.25, 5
34, 403035.43,6456793.53, 5
35, 404366.55,6453318.45, 6
35, 404566.10,6454092.25, 6
36, 400656.31,6450318.38, 7
36, 401057.76,6451324.05, 7
37, 399265.16,6443700.25, 9
37, 399251.02,6444506.51, 9
38, 400928.45,6454296.00, 4
38, 401071.53,6455056.26, 4
39, 398858.99,6439225.21, 4
39, 398957.52,6440441.92, 4
40, 400676.24,6446596.27, 2
40, 400606.76,6447266.09, 2
