# FaultID,X,Y,Top Coal Seam
 1, 402551.28,6443753.45, 9
 1, 402207.46,6445376.40, 9
 2, 401929.96,6452394.72, 7
 2, 401579.05,6453357.16, 7
 3, 404260.42,6456890.43, 8
 3, 404523.67,6457754.67, 8
 4, 400484.84,6447497.30, 4
 4, 400710.77,6448116.95, 4
 5, 399903.76,6442676.60,10
 5, 399671.30,6443273.24,10
 6, 402968.95,6448880.94, 7
 6, 402987.43,6449479.04, 7
 7, 397811.06,6447253.65, 8
 7, 397635.78,6448067.11, 8
 8, 401879.93,6442904.58, 8
 8, 402124.08,6443518.56, 8
 9, 398034.91,6446904.97, 4
 9, 397746.95,6447882.06, 4
10, 399480.61,6445169.53, 1
10, 399287.56,6446089.06, 1
11, 399557.41,6440418.86, 7
11, 399733.84,6441136.54, 7
12, 401451.72,6449939.23, 4
12, 401773.18,6451058.52, 4
13, 400780.59,6447944.19, 3
13, 400668.46,6448627.19, 3
14, 398803.82,6438289.54, 2
14, 398861.90,6439008.89, 2
15, 399570.14,6437926.98, 5
15, 399528.83,6438980.17, 5
16, 402581.87,6454006.99, 5
16, 402391.96,6454660.94, 5
17, 400983.34,6446514.69, 9
17, 400707.35,6447523.61, 9
18, 399101.62,6451164.76, 1
18, 398790.43,6452199.77, 1
19, 397868.70,6447605.93, 2
19, 397526.96,6448570.01, 2
20, 403138.57,6455841.97, 8
20, 403024.21,6456674.09, 8
21, 400049.64,6443860.47, 1
21, 400366.54,6444947.77, 1
22, 399088.03,6441899.78, 9
22, 398945.37,6442569.95, 9
23, 401930.54,6447786.77, 2
23, 402221.78,6448542.33, 2
24, 402642.91,6450529.98, 8
24, 402700.27,6451071.95, 8
25, 403484.75,6440376.96, 6
25, 403379.57,6440952.00, 6
26, 401020.37,6449202.01, 7
26, 400929.24,6450053.62, 7
27, 399390.31,6442391.33, 8
27, 399355.61,6442995.35, 8
28, 399228.21,6444235.19, 3
28, 399177.12,6445226.60, 3
29, 399279.34,6448372.70, 6
29, 399245.43,6448900.57, 6
30, 401843.16,6438148.55, 4
30, 401881.55,6439551.05, 4
31, 403798.94,6441219.95, 9
31, 403837.84,6441736.59, 9
32, 403292.90,6451397.80, 6
32, 403239.02,6452112.88, 6
33, 400142.70,6439642.14, 5
33, 400148.03,6440365.63, 5
34, 399747.27,6439664.42, 8
34, 399626.21,6440279.89, 8
35, 400210.74,6445542.98, 8
35, 400390.60,6446185.28, 8
36, 399610.68,6444183.15,10
36, 399495.68,6444736.79,10
37, 403069.87,6453565.73, 3
37, 402852.70,6454315.35, 3
38, 402383.97,6446410.80, 9
38, 402334.77,6447173.72, 9
39, 402675.25,6445052.37, 1
39, 402422.42,6445854.81, 1
40, 397352.72,6447235.40, 7
40, 397279.25,6448014.20, 7
