# FaultID,X,Y,Top Coal Seam
 1, 400353.83,6452421.78, 9
 1, 400493.56,6452916.15, 9
 2, 399321.78,6444073.20, 5
 2, 399456.93,6444857.24, 5
 3, 400247.54,6452499.44, 6
 3, 399974.32,6453208.23, 6
 4, 399388.79,6450522.02, 5
 4, 399396.95,6451037.81, 5
 5, 403702.72,6444197.57, 1
 5, 403900.10,6444751.33, 1
 6, 399284.50,6447649.21, 4
 6, 399221.55,6448287.54, 4
 7, 402396.17,6449878.37, 1
 7, 402371.36,6450394.40, 1
 8, 398586.79,6443428.39, 7
 8, 399081.42,6444780.10, 7
 9, 401839.30,6450907.41, 3
 9, 401657.95,6451700.39, 3
10, 398864.71,6447362.92, 7
10, 398669.92,6448735.02, 7
11, 404590.37,6447423.20,10
11, 404395.77,6448706.60,10
12, 402628.07,6454985.59, 3
12, 402507.41,6455618.39, 3
13, 399040.55,6447195.96, 6
13, 399102.05,6447743.00, 6
14, 404216.49,6452564.60,10
14, 404101.72,6453251.24,10
15, 399525.12,6453637.92, 3
15, 400116.00,6455181.72, 3
16, 401323.55,6450003.41, 8
16, 401620.42,6450734.70, 8
17, 402223.36,6440798.05, 4
17, 402420.40,6441711.78, 4
18, 402646.39,6450895.03, 9
18, 402512.55,6451884.96, 9
19, 399612.65,6451443.72, 1
19, 399757.40,6452166.48, 1
20, 403429.78,6437513.84, 9
20, 403296.84,6438045.90, 9
21, 403264.08,6437770.33, 9
21, 403421.91,6438453.99, 9
22, 399875.93,6441311.52, 8
22, 400003.74,6442524.10, 8
23, 399936.46,6447038.80, 2
23, 399945.99,6447699.05, 2
24, 399886.10,6446682.10, 6
24, 399863.95,6447219.23, 6
25, 398805.52,6447809.67, 6
25, 398983.35,6448301.04, 6
26, 400860.32,6450730.58, 8
26, 401412.78,6452182.67, 8
27, 400768.50,6437763.12, 5
27, 400843.52,6438908.34, 5
28, 398479.08,6443616.03, 7
28, 398863.99,6444853.07, 7
29, 400872.80,6441734.24, 5
29, 400955.62,6442362.49, 5
30, 398701.36,6451197.28, 5
30, 398668.10,6452169.99, 5
31, 400455.89,6441456.53, 6
31, 400590.75,6442492.88, 6
32, 402953.50,6447680.42,10
32, 402996.89,6448285.71,10
33, 398173.02,6444871.82, 1
33, 398556.30,6446154.23, 1
34, 404355.73,6454001.97,10
34, 404305.20,6454666.46,10
35, 401445.75,6447322.04, 3
35, 401373.49,6447836.52, 3
36, 402157.80,6439419.75, 7
36, 402166.72,6440212.52, 7
37, 404199.42,6456248.14, 1
37, 404388.46,6457218.17, 1
38, 404133.95,6446584.53, 2
38, 403955.77,6447291.83, 2
39, 399022.61,6445446.43, 6
39, 398765.98,6446220.62, 6
40, 401102.77,6450857.29,10
40, 400979.53,6451703.82,10
