# FaultID,X,Y,Top Coal Seam
 1, 399482.03,6447739.24, 4
 1, 399639.82,6448655.93, 4
 2, 402914.82,6451842.00,10
 2, 402662.02,6452714.17,10
 3, 402459.54,6445026.37, 7
 3, 402458.95,6445627.73, 7
 4, 398241.43,6443331.00, 2
 4, 398161.04,6443839.27, 2
 5, 404441.35,6448284.76, 8
 5, 404419.72,6448994.62, 8
 6, 401080.45,6448552.25, 7
 6, 401360.44,6449773.86, 7
 7, 398039.13,6444588.39, 4
 7, 398105.27,6445480.63, 4
 8, 400418.11,6448306.31, 7
 8, 400291.56,6448835.32, 7
 9, 399603.32,6448327.47, 9
 9, 399559.31,6448917.63, 9
10, 402638.91,6451270.86, 6
10, 402809.54,6451932.29, 6
11, 402545.25,6448178.11, 4
11, 402689.93,6449110.86, 4
12, 398775.44,6446854.26, 9
12, 398765.09,6447587.95, 9
13, 403915.42,6444421.97, 7
13, 404300.11,6445583.91, 7
14, 400027.73,6456298.47, 5
14, 399887.14,6457111.32, 5
15, 402642.36,6456512.67, 8
15, 402619.01,6457034.04, 8
16, 400665.72,6455026.27, 5
16, 400646.51,6455692.26, 5
17, 399469.22,6451848.65, 5
17, 399332.17,6452571.81, 5
18, 402003.85,6450343.93, 7
18, 402117.25,6451559.09, 7
19, 399948.61,6438404.00, 7
19, 400032.31,6439309.54, 7
20, 403884.87,6445017.41, 2
20, 404147.92,6445799.89, 2
21, 399807.68,6449665.43, 2
21, 399438.59,6450864.87, 2
22, 403933.92,6442723.73, 8
22, 403979.22,6443474.68, 8
23, 398747.87,6444543.57, 4
23, 398968.92,6445107.26, 4
24, 403601.07,6445413.74, 2
24, 403721.06,6445979.59, 2
25, 399126.31,6438868.19, 8
25, 399470.16,6440083.72, 8
26, 401484.04,6450408.70, 3
26, 401932.45,6451502.20, 3
27, 403874.52,6443609.61, 3
27, 403675.46,6444531.02, 3
28, 399762.83,6445536.23, 7
28, 399591.77,6446083.47, 7
29, 403906.05,6445268.37, 5
29, 403990.25,6446174.70, 5
30, 403074.20,6452227.32, 8
30, 403117.41,6453084.22, 8
31, 399006.26,6444608.94, 9
31, 398927.94,6445146.54, 9
32, 400603.95,6452836.94, 9
32, 400544.10,6453390.97, 9
33, 403605.64,6438575.42, 5
33, 403768.21,6439161.50, 5
34, 401745.40,6454860.74, 3
34, 401775.24,6455692.44, 3
35, 402560.93,6455664.69, 3
35, 402595.15,6456173.35, 3
36, 398687.62,6451684.67, 7
36, 398415.87,6452352.29, 7
37, 402005.43,6439395.40, 8
37, 401691.56,6440478.30, 8
38, 399876.04,6453366.61,10
38, 400035.12,6453955.46,10
39, 399568.24,6443071.23, 9
39, 399644.16,6443591.13, 9
40, 400810.90,6447596.62, 3
40, 401037.21,6448829.10, 3
