# FaultID,X,Y,Top Coal Seam
 1, 401613.55,6451090.25, 5
 1, 401480.98,6452070.05, 5
 2, 399441.81,6448701.36, 7
 2, 399752.30,6449521.04, 7
 3, 402944.11,6452395.19, 1
 3, 403216.37,6453103.55, 1
 4, 399561.00,6447059.09, 5
 4, 399578.63,6448763.44, 5
 5, 399965.57,6448869.64, 7
 5, 400343.40,6450049.28, 7
 6, 402405.25,6449417.56, 7
 6, 401985.70,6450770.19, 7
 7, 398118.11,6443079.36, 3
 7, 398023.07,6443637.51, 3
 8, 401667.47,6448789.53,10
 8, 401774.10,6450042.13,10
 9, 403100.21,6446322.94, 1
 9, 403162.91,6447187.68, 1
10, 399687.00,6445601.93,10
10, 399416.34,6446332.58,10
11, 404197.55,6450829.10, 4
11, 404370.25,6451760.11, 4
12, 400436.30,6453844.38, 5
12, 400633.28,6454699.83, 5
13, 400955.76,6449118.62, 4
13, 400898.75,6449671.56, 4
14, 398591.33,6439839.32, 5
14, 398800.44,6440585.34, 5
15, 400277.40,6449999.59, 9
15, 400191.67,6450508.40, 9
16, 398725.11,6443081.46, 1
16, 398610.76,6444267.84, 1
17, 402904.71,6444528.50, 2
17, 402998.82,6445572.12, 2
18, 399820.68,6449282.69, 3
18, 399699.81,6449898.39, 3
19, 398791.43,6450018.64, 6
19, 398895.68,6450984.99, 6
20, 401800.78,6447762.54,10
20, 402017.16,6448328.93,10
21, 398411.87,6439561.16, 5
21, 398675.17,6440501.49, 5
22, 399436.01,6440257.34, 9
22, 399153.58,6441598.16, 9
23, 402634.83,6456314.69, 9
23, 402127.15,6457631.96, 9
24, 402542.88,6446005.07, 7
24, 402565.72,6446957.54, 7
25, 403538.57,6437915.70, 4
25, 403256.20,6438641.18, 4
26, 399521.53,6444771.35, 5
26, 399451.33,6445423.24, 5
27, 401696.95,6448439.17, 2
27, 401370.18,6449469.72, 2
28, 400603.41,6448574.59, 6
28, 400955.09,6449582.52, 6
29, 400952.25,6454667.34, 1
29, 400712.40,6455321.13, 1
30, 401641.22,6450311.26,10
30, 401922.79,6451209.61,10
31, 399631.07,6441505.17, 8
31, 399822.70,6442150.28, 8
32, 399139.14,6451800.83, 6
32, 399262.55,6452774.68, 6
33, 400383.03,6455565.73, 8
33, 400227.94,6456249.33, 8
34, 402510.76,6456730.55, 1
34, 402665.30,6457273.68, 1
35, 404335.44,6450130.44, 9
35, 404308.43,6450983.67, 9
36, 400464.09,6445570.60, 7
36, 400408.07,6447157.25, 7
37, 398079.74,6448271.95,10
37, 398299.00,6448822.10,10
38, 402040.02,6448648.52, 2
38, 401811.48,6449563.18, 2
39, 403064.22,6447830.63, 7
39, 403128.04,6448509.98, 7
40, 401252.08,6451531.43, 1
40, 401464.91,6452594.34, 1
