# FaultID,X,Y,Top Coal Seam
 1, 402465.71,6456448.06, 5
 1, 402266.50,6457504.10, 5
 2, 401937.38,6444184.73, 3
 2, 401901.47,6445118.22, 3
 3, 400789.58,6446234.44, 2
 3, 401208.77,6447452.75, 2
 4, 403797.50,6443089.18, 9
 4, 403979.47,6443614.47, 9
 5, 404310.67,6453147.39, 3
 5, 404124.56,6454474.24, 3
 6, 400134.10,6452168.07, 8
 6, 400364.68,6452996.10, 8
 7, 402839.84,6438953.39, 4
 7, 402866.22,6439647.47, 4
 8, 404527.41,6449291.16, 8
 8, 404491.39,6450615.63, 8
 9, 400491.11,6446838.08, 5
 9, 400419.28,6447469.97, 5
10, 403036.41,6447730.81, 2
10, 402758.49,6448614.89, 2
11, 399576.73,6438256.58, 9
11, 399686.71,6438885.14, 9
12, 399536.19,6438575.73, 2
12, 399512.02,6439260.02, 2
13, 402962.27,6447936.12,10
13, 402989.55,6448595.47,10
14, 401194.35,6448443.39, 9
14, 400725.01,6450053.73, 9
15, 403041.60,6449753.05, 7
15, 403313.59,6451216.48, 7
16, 400972.78,6451317.82, 7
16, 400960.61,6452052.48, 7
17, 400097.70,6441806.34, 1
17, 399757.68,6442729.25, 1
18, 402554.26,6456061.59, 3
18, 402435.31,6457391.96, 3
19, 400137.74,6445601.55, 9
19, 400037.53,6446102.15, 9
20, 398805.57,6444248.53,10
20, 398842.21,6445144.61,10
21, 401608.89,6450458.08,10
21, 401411.02,6451053.77,10
22, 400451.99,6454959.69,10
22, 400695.93,6456267.73,10
23, 399892.60,6441986.81, 8
23, 400234.14,6442840.30, 8
24, 403959.35,6442783.43, 3
24, 404037.49,6443418.76, 3
25, 400755.58,6453011.37, 5
25, 400701.37,6453592.66, 5
26, 403876.22,6441070.59, 2
26, 403928.31,6442824.24, 2
27, 399116.01,6441425.77, 4
27, 399352.02,6442176.67, 4
28, 404458.52,6452007.72, 2
28, 404461.08,6453012.94, 2
29, 401503.86,6446271.35, 2
29, 401439.51,6447314.98, 2
30, 403400.84,6455706.60, 8
30, 403224.43,6456350.29, 8
31, 398995.44,6445418.95,10
31, 398879.37,6446044.27,10
32, 403707.64,6439763.22, 9
32, 403676.81,6440491.05, 9
33, 400719.90,6455657.33, 7
33, 400626.99,6456309.26, 7
34, 401838.78,6438359.95, 7
34, 402061.79,6439080.32, 7
35, 397607.40,6446145.45, 4
35, 397557.82,6446889.97, 4
36, 397480.51,6448950.46, 3
36, 397804.58,6449896.65, 3
37, 402016.62,6440191.40, 8
37, 402253.63,6441229.97, 8
38, 402804.83,6452939.45, 6
38, 402677.51,6454352.40, 6
39, 401404.63,6453127.78, 7
39, 400930.24,6454302.64, 7
40, 403901.23,6439869.49, 4
40, 403646.53,6441252.99, 4
