# FaultID,X,Y,Top Coal Seam
 1, 404456.33,6450846.52, 8
 1, 404582.67,6452298.45, 8
 2, 398597.67,6451350.88, 4
 2, 398594.00,6451972.29, 4
 3, 401801.36,6455967.02, 7
 3, 401752.99,6456702.61, 7
 4, 404453.15,6449869.67, 1
 4, 404339.70,6450846.46, 1
 5, 404238.58,6445343.08, 9
 5, 403998.51,6446177.08, 9
 6, 403277.43,6456907.17, 7
 6, 403464.54,6457549.01, 7
 7, 401158.30,6454465.53, 8
 7, 401175.04,6455039.86, 8
 8, 402236.88,6443519.27, 5
 8, 402157.76,6444540.99, 5
 9, 402422.87,6450792.16, 5
 9, 402635.78,6451573.90, 5
10, 398846.06,6439360.22, 5
10, 399014.25,6439868.13, 5
11, 399963.90,6449395.65, 2
11, 400208.07,6450633.55, 2
12, 400175.69,6452808.44, 7
12, 400002.34,6453342.37, 7
13, 403574.63,6438603.67, 3
13, 403461.90,6439766.23, 3
14, 399279.34,6448498.22, 9
14, 399129.38,6449456.71, 9
15, 401074.27,6446603.37, 8
15, 400797.74,6447728.21, 8
16, 400457.30,6448222.91, 9
16, 400830.75,6449621.34, 9
17, 404075.12,6453910.84, 2
17, 404167.61,6454560.18, 2
18, 397391.28,6446516.20, 5
18, 397348.26,6447080.29, 5
19, 404465.56,6451355.09, 8
19, 404357.46,6451852.55, 8
20, 400353.54,6451671.55, 3
20, 400322.54,6452288.07, 3
21, 402141.62,6441965.63,10
21, 402537.08,6443185.84,10
22, 402257.88,6447222.82,10
22, 402289.02,6448234.22,10
23, 402318.83,6453167.94, 9
23, 402367.42,6454234.65, 9
24, 398273.23,6445020.40, 1
24, 398204.80,6446325.62, 1
25, 399635.89,6450768.16, 9
25, 399857.29,6451320.80, 9
26, 403302.63,6451454.71, 2
26, 403085.42,6452065.50, 2
27, 400032.21,6449927.24, 6
27, 399850.44,6450799.08, 6
28, 403372.93,6452698.22,10
28, 403279.75,6453292.99,10
29, 399152.68,6438613.92,10
29, 399240.74,6439444.31,10
30, 401636.33,6446713.77, 9
30, 401719.80,6447463.07, 9
31, 398069.51,6448270.18,10
31, 398109.76,6448849.49,10
32, 399537.13,6438682.18, 9
32, 399301.48,6439332.31, 9
33, 397806.21,6447382.47, 7
33, 397721.96,6448163.51, 7
34, 403371.27,6437305.68, 4
34, 403278.46,6438253.86, 4
35, 400840.20,6456498.00, 3
35, 401223.46,6457496.92, 3
36, 401303.13,6455517.54, 2
36, 401234.72,6456171.39, 2
37, 399170.58,6437734.22,10
37, 399133.89,6438337.72,10
38, 400421.63,6453502.26, 4
38, 400155.26,6454807.45, 4
39, 403187.55,6455377.71, 1
39, 403190.13,6456251.43, 1
40, 402830.63,6445439.59, 6
40, 402871.29,6446111.53, 6
