# FaultID,X,Y,Top Coal Seam
 1, 397619.93,6445032.00,10
 1, 397435.37,6446181.10,10
 2, 400440.70,6454086.77, 3
 2, 400305.69,6454700.03, 3
 3, 402875.27,6446202.93, 2
 3, 402538.24,6447209.83, 2
 4, 400202.44,6443712.32, 5
 4, 399961.59,6444357.06, 5
 5, 403700.76,6445093.41, 4
 5, 403700.26,6446056.57, 4
 6, 399454.28,6444246.78, 9
 6, 399084.39,6445242.57, 9
 7, 398294.90,6446935.16, 7
 7, 398518.38,6447814.31, 7
 8, 402874.49,6452427.01, 2
 8, 403092.63,6453372.50, 2
 9, 401466.36,6456499.12, 7
 9, 401262.41,6457811.14, 7
10, 402935.10,6446724.11, 5
10, 403158.18,6448024.25, 5
11, 401219.27,6453876.08, 8
11, 401423.98,6454381.73, 8
12, 398968.61,6450439.42,10
12, 398819.80,6451514.42,10
13, 399514.59,6439564.39, 3
13, 399217.40,6440525.04, 3
14, 401303.85,6456680.74, 4
14, 400957.37,6457944.97, 4
15, 403120.82,6455082.56, 5
15, 402650.33,6456220.23, 5
16, 397799.04,6445634.71,10
16, 398235.03,6447266.37,10
17, 404312.03,6446591.40, 1
17, 404210.88,6447164.24, 1
18, 399380.38,6440762.99, 7
18, 399590.55,6441878.85, 7
19, 400200.92,6449146.99, 6
19, 400083.98,6449635.20, 6
20, 404270.06,6446480.71, 3
20, 404287.19,6447117.94, 3
21, 399978.09,6454478.00, 8
21, 399925.56,6455853.22, 8
22, 400123.47,6453623.74, 5
22, 399804.37,6454795.69, 5
23, 402729.34,6452997.05, 1
23, 403024.21,6453824.33, 1
24, 401113.86,6445767.59, 4
24, 401045.31,6446296.90, 4
25, 401962.86,6451297.30, 9
25, 402043.29,6452362.61, 9
26, 402336.68,6447729.73, 3
26, 402182.64,6448332.35, 3
27, 401950.86,6446685.82, 9
27, 401987.95,6447217.24, 9
28, 398564.78,6437674.84, 3
28, 398355.43,6438445.62, 3
29, 402512.61,6452254.13, 2
29, 402768.07,6453091.28, 2
30, 397870.42,6445873.49, 3
30, 398014.16,6446760.05, 3
31, 398413.35,6441296.09, 2
31, 398135.76,6442061.35, 2
32, 400811.50,6442939.70, 2
32, 400728.26,6444199.18, 2
33, 400806.07,6437904.41,10
33, 400810.27,6438488.84,10
34, 399705.07,6455985.56,10
34, 399836.66,6456815.74,10
35, 400333.82,6451385.77, 7
35, 400480.73,6452309.91, 7
36, 402318.12,6453353.43, 5
36, 402454.97,6453865.80, 5
37, 399758.52,6451373.83, 7
37, 399597.84,6451944.90, 7
38, 399615.57,6452301.17, 2
38, 399845.87,6452946.79, 2
39, 404154.52,6450613.33, 3
39, 404272.24,6451679.60, 3
40, 402876.14,6449581.56, 2
40, 403277.86,6450755.42, 2
