# FaultID,X,Y,Top Coal Seam
 1, 402367.62,6444453.84, 5
 1, 402598.57,6445012.24, 5
 2, 398514.18,6443306.05, 7
 2, 398619.76,6443822.64, 7
 3, 398489.81,6449787.31, 6
 3, 398577.43,6450805.00, 6
 4, 402175.36,6447595.63, 2
 4, 402093.91,6448199.98, 2
 5, 399088.58,6451103.82, 2
 5, 398647.55,6452247.76, 2
 6, 400508.18,6448690.74, 8
 6, 400451.79,6449474.32, 8
 7, 401292.51,6448970.75, 9
 7, 401558.84,6449853.15, 9
 8, 404559.61,6451232.52, 1
 8, 404336.90,6451845.28, 1
 9, 400545.36,6455335.88, 9
 9, 401027.85,6456665.84, 9
10, 398956.58,6441636.05, 2
10, 399086.86,6442127.78, 2
11, 403813.02,6444631.06, 2
11, 404194.54,6446173.81, 2
12, 403380.99,6437622.53, 8
12, 403350.38,6438273.77, 8
13, 397356.23,6446349.25, 9
13, 397301.26,6446858.18, 9
14, 399826.67,6446560.53, 4
14, 399698.39,6447466.20, 4
15, 400914.17,6443695.90, 3
15, 401148.83,6444311.63, 3
16, 397847.62,6448111.20, 8
16, 397819.25,6449101.68, 8
17, 401766.95,6449672.12, 3
17, 401525.04,6451496.79, 3
18, 404022.89,6443865.05, 3
18, 403784.17,6444596.71, 3
19, 401817.44,6453303.40, 6
19, 402025.85,6454003.53, 6
20, 400348.34,6445908.44, 6
20, 400182.06,6446726.70, 6
21, 400943.06,6450427.59, 4
21, 400638.19,6451530.87, 4
22, 397879.60,6446222.92, 2
22, 397911.86,6447080.64, 2
23, 399146.34,6440541.33, 8
23, 399044.87,6441965.85, 8
24, 401465.23,6452634.08, 9
24, 401849.22,6453929.62, 9
25, 404419.60,6454251.37, 9
25, 404429.62,6454828.07, 9
26, 403144.25,6455519.69, 3
26, 403243.56,6456779.49, 3
27, 402502.89,6447205.93, 1
27, 402960.98,6448458.60, 1
28, 404278.09,6447809.82, 6
28, 404238.33,6448858.25, 6
29, 400003.65,6451189.41, 7
29, 400367.31,6452211.70, 7
30, 401897.78,6441253.41, 5
30, 401920.90,6441946.37, 5
31, 400490.93,6438286.91, 8
31, 400724.60,6439098.57, 8
32, 401500.22,6456267.28, 7
32, 401594.44,6456903.23, 7
33, 398929.57,6446553.21, 5
33, 398965.69,6447276.83, 5
34, 398706.64,6449510.22, 2
34, 398775.66,6450245.06, 2
35, 402645.99,6456845.97, 7
35, 402540.13,6457528.17, 7
36, 403269.93,6455365.05, 1
36, 403015.99,6456814.54, 1
37, 399764.11,6445060.23, 7
37, 399944.85,6446004.94, 7
38, 400309.11,6443268.36, 4
38, 400128.58,6444377.99, 4
39, 401650.95,6447944.58, 4
39, 401174.48,6449224.93, 4
40, 399809.33,6453154.78, 3
40, 400135.35,6454370.41, 3
