# FaultID,X,Y,Top Coal Seam
 1, 398751.98,6445741.49, 2
 1, 398854.93,6446435.06, 2
 2, 403107.57,6456250.08, 8
 2, 403374.34,6457233.16, 8
 3, 401663.37,6437332.48, 2
 3, 401466.76,6437875.59, 2
 4, 399650.70,6444564.87, 1
 4, 399812.02,6445350.96, 1
 5, 399878.99,6449201.46, 2
 5, 400207.76,6450142.61, 2
 6, 402594.11,6441958.10, 1
 6, 402488.68,6442812.51, 1
 7, 401894.30,6453146.90, 4
 7, 402196.76,6454352.66, 4
 8, 404221.96,6449307.12, 5
 8, 404509.44,6450161.76, 5
 9, 403013.04,6448434.43, 6
 9, 402933.12,6449525.22, 6
10, 400874.69,6451953.62, 6
10, 401093.90,6452583.09, 6
11, 400270.05,6447644.47, 5
11, 400298.20,6449265.92, 5
12, 401011.64,6456428.52, 3
12, 401208.90,6457080.25, 3
13, 402464.54,6445221.08, 2
13, 402103.30,6446835.99, 2
14, 401465.45,6448549.43, 2
14, 401683.76,6449572.67, 2
15, 400935.55,6447430.22, 8
15, 401274.06,6448589.38, 8
16, 402853.16,6449906.88, 7
16, 403102.55,6450834.81, 7
17, 400296.52,6440041.71, 6
17, 400007.31,6441871.95, 6
18, 399038.17,6446255.91, 5
18, 399356.77,6447284.69, 5
19, 401600.20,6457214.59, 1
19, 401361.76,6457876.11, 1
20, 398381.74,6442477.67, 4
20, 398123.61,6443133.06, 4
21, 399564.58,6438774.98,10
21, 399764.31,6439628.23,10
22, 402184.03,6452296.64, 7
22, 402814.05,6453844.49, 7
23, 400173.12,6443098.07,10
23, 400393.87,6443647.63,10
24, 400971.36,6441541.77, 3
24, 401098.50,6442055.90, 3
25, 402121.75,6453805.28, 6
25, 401957.66,6454299.17, 6
26, 398538.03,6447426.54,10
26, 398370.49,6448104.14,10
27, 404298.42,6447506.06, 6
27, 404457.44,6448630.52, 6
28, 403579.16,6443640.54, 2
28, 403565.29,6444756.04, 2
29, 400711.27,6451918.04, 9
29, 400624.06,6452557.54, 9
30, 401003.14,6442461.70, 3
30, 401096.32,6443009.30, 3
31, 397411.32,6449628.10, 8
31, 397750.31,6450776.02, 8
32, 403125.90,6456316.14, 2
32, 402868.30,6457056.47, 2
33, 399705.45,6441669.13, 4
33, 399791.56,6442459.98, 4
34, 400224.63,6453298.38, 4
34, 400356.37,6453847.91, 4
35, 402288.70,6443296.80, 4
35, 402445.41,6443884.11, 4
36, 397934.86,6442540.91, 3
36, 398080.69,6443855.64, 3
37, 398439.50,6448306.65, 4
37, 398644.68,6449125.97, 4
38, 399520.42,6452961.24, 7
38, 399667.74,6453562.03, 7
39, 401834.74,6450669.81, 7
39, 401690.60,6451943.03, 7
40, 398956.53,6448632.45, 8
40, 399098.04,6449323.58, 8
