# FaultID,X,Y,Top Coal Seam
 1, 401247.70,6444628.70, 9
 1, 401228.42,6445753.66, 9
 2, 398528.02,6441752.24, 6
 2, 398273.09,6443218.09, 6
 3, 403910.77,6444606.92,10
 3, 403931.61,6445129.67,10
 4, 398482.34,6447937.71, 4
 4, 398686.28,6448883.19, 4
 5, 401344.34,6456269.32, 8
 5, 401169.24,6456835.70, 8
 6, 400249.66,6453819.74, 6
 6, 400366.01,6454388.98, 6
 7, 403590.53,6441448.85, 2
 7, 403430.00,6442070.30, 2
 8, 402587.16,6442075.28, 8
 8, 402675.13,6442614.79, 8
 9, 398759.51,6451666.43, 9
 9, 398494.28,6452523.72, 9
10, 398573.35,6443854.49,10
10, 398641.03,6444824.42,10
11, 400964.21,6442750.09, 3
11, 400751.69,6443411.70, 3
12, 400069.49,6456650.89, 9
12, 400193.80,6457211.00, 9
13, 400920.74,6453296.56, 6
13, 400576.60,6454244.85, 6
14, 399084.39,6449262.07, 6
14, 399040.79,6449983.49, 6
15, 399238.62,6446113.97, 9
15, 399076.55,6446718.51, 9
16, 400882.39,6443408.01, 8
16, 400851.18,6444242.04, 8
17, 404351.96,6448040.55,10
17, 404108.64,6448730.49,10
18, 400598.80,6440137.47, 7
18, 400444.80,6440619.81, 7
19, 401055.76,6448548.85, 2
19, 401078.67,6449086.60, 2
20, 400347.79,6448775.35, 8
20, 400512.98,6449322.00, 8
21, 402612.20,6454379.72, 4
21, 402301.38,6455272.51, 4
22, 400124.79,6456813.41, 1
22, 400129.29,6457396.15, 1
23, 400652.50,6451556.40, 7
23, 400306.19,6452406.43, 7
24, 400446.42,6452326.80,10
24, 400347.89,6453065.92,10
25, 401726.71,6453630.90, 9
25, 401538.90,6454515.36, 9
26, 400231.49,6455301.67, 3
26, 400369.86,6455953.52, 3
27, 400064.27,6437503.66, 8
27, 400067.13,6438236.66, 8
28, 399524.89,6445662.15, 4
28, 399579.47,6446953.56, 4
29, 399211.38,6437662.81, 6
29, 399281.02,6438489.37, 6
30, 401252.85,6454428.84, 1
30, 401274.11,6454997.94, 1
31, 400965.61,6445992.93, 7
31, 400751.25,6446887.67, 7
32, 402525.12,6455142.51, 9
32, 402650.68,6455847.70, 9
33, 399461.31,6438198.49, 5
33, 399249.98,6439501.22, 5
34, 397615.38,6446924.06, 7
34, 397540.83,6447790.84, 7
35, 400838.54,6453990.16, 4
35, 400428.78,6455449.28, 4
36, 400625.45,6437467.64, 4
36, 400527.53,6438127.70, 4
37, 403132.87,6450799.03,10
37, 403337.39,6451461.21,10
38, 399822.39,6441773.96, 4
38, 400080.42,6442665.03, 4
39, 402658.46,6452106.17, 4
39, 402727.81,6452705.76, 4
40, 402583.68,6445246.77, 8
40, 402311.21,6445963.81, 8
