# FaultID,X,Y,Top Coal Seam
 1, 402838.73,6452670.97, 4
 1, 402541.00,6453425.45, 4
 2, 398272.49,6450398.42, 3
 2, 398490.91,6450988.97, 3
 3, 400704.69,6439656.68, 2
 3, 400806.93,6440264.68, 2
 4, 400320.34,6452075.17, 7
 4, 400541.84,6452729.66, 7
 5, 402376.09,6447854.68, 9
 5, 402285.35,6448520.43, 9
 6, 400656.40,6440258.60, 1
 6, 400603.02,6440881.85, 1
 7, 402664.28,6455576.61, 2
 7, 402601.16,6456296.69, 2
 8, 398283.74,6448038.87, 9
 8, 398130.10,6449327.35, 9
 9, 403246.36,6437999.41, 7
 9, 403426.97,6438629.43, 7
10, 399460.36,6442879.61, 2
10, 399255.91,6443447.49, 2
11, 400489.97,6451728.81, 5
11, 400076.88,6453377.72, 5
12, 399801.01,6439589.43, 7
12, 399761.55,6440553.62, 7
13, 403449.39,6450895.03, 1
13, 403214.17,6451777.61, 1
14, 401813.57,6454768.98, 4
14, 401800.76,6455300.97, 4
15, 401372.88,6452263.30, 4
15, 401265.07,6453343.59, 4
16, 400865.60,6455978.00, 1
16, 400774.48,6456580.03, 1
17, 400238.63,6442923.95, 7
17, 400205.50,6444156.89, 7
18, 402425.28,6453319.15, 3
18, 402576.62,6453855.43, 3
19, 400109.13,6452218.10,10
19, 400183.02,6453555.00,10
20, 402191.53,6452572.28, 7
20, 402461.62,6453454.33, 7
21, 398916.58,6442162.72, 9
21, 399127.14,6442853.02, 9
22, 400596.53,6444865.15, 2
22, 400653.11,6445378.39, 2
23, 402824.93,6445092.99, 6
23, 402711.14,6446382.84, 6
24, 404245.32,6453229.11,10
24, 404213.57,6453940.64,10
25, 402466.50,6450700.65, 4
25, 402206.22,6451494.22, 4
26, 399994.08,6448650.90, 3
26, 399868.66,6449214.81, 3
27, 398627.62,6451595.56, 2
27, 398817.02,6452076.41, 2
28, 400211.24,6455037.01, 6
28, 400064.09,6455703.15, 6
29, 400681.76,6454991.50, 7
29, 400860.34,6455472.59, 7
30, 397557.22,6448207.03, 6
30, 397434.23,6448767.35, 6
31, 400723.84,6445067.64,10
31, 400360.96,6446011.45,10
32, 398777.09,6450169.02, 1
32, 398786.43,6451143.84, 1
33, 401980.38,6454373.35, 4
33, 401653.53,6455210.44, 4
34, 399666.20,6455319.75, 2
34, 399742.93,6456130.72, 2
35, 402373.78,6443086.55, 8
35, 402372.17,6443625.55, 8
36, 401100.30,6446950.55, 7
36, 401348.48,6447702.30, 7
37, 400408.00,6452962.45, 9
37, 400307.66,6453732.47, 9
38, 403998.31,6447289.89, 6
38, 404368.53,6448206.69, 6
39, 398339.87,6443784.74, 9
39, 398219.99,6444430.84, 9
40, 404065.02,6443327.69, 9
40, 404109.46,6444246.73, 9
