# FaultID,X,Y,Top Coal Seam
 1, 401522.32,6450634.18, 1
 1, 401633.71,6451501.83, 1
 2, 399895.16,6444172.19,10
 2, 399594.54,6445281.24,10
 3, 399958.13,6438384.71,10
 3, 400224.66,6439051.79,10
 4, 398888.26,6452357.23, 8
 4, 398948.11,6453005.23, 8
 5, 400057.20,6448888.85, 8
 5, 400148.44,6449767.84, 8
 6, 403249.72,6455464.25, 5
 6, 403349.59,6456503.83, 5
 7, 401446.86,6449978.90, 6
 7, 401540.87,6450615.79, 6
 8, 399998.12,6447169.52,10
 8, 399765.35,6447917.93,10
 9, 399868.99,6452315.69, 2
 9, 400155.32,6453210.92, 2
10, 398870.63,6451189.53,10
10, 398875.42,6451698.19,10
11, 401169.21,6455071.65, 5
11, 401586.56,6456350.01, 5
12, 398897.71,6450496.01, 8
12, 398718.77,6450982.46, 8
13, 401096.23,6445337.51, 9
13, 401143.14,6446086.28, 9
14, 401506.91,6437551.60, 7
14, 401513.90,6438070.38, 7
15, 400749.73,6449648.06, 9
15, 400308.95,6450778.73, 9
16, 400157.62,6444018.79, 6
16, 400122.88,6444664.42, 6
17, 400758.19,6457084.20, 7
17, 400856.09,6457834.36, 7
18, 398079.86,6441234.73, 5
18, 398328.50,6441998.32, 5
19, 399969.71,6445405.29, 7
19, 400228.61,6446073.70, 7
20, 400789.80,6444160.97, 3
20, 400456.22,6444981.78, 3
21, 398009.77,6441888.28, 1
21, 398552.63,6443237.95, 1
22, 402670.23,6445479.77, 3
22, 402807.38,6446147.46, 3
23, 404359.38,6447338.92, 5
23, 404148.69,6447978.05, 5
24, 397797.72,6447611.03, 2
24, 397691.39,6448211.51, 2
25, 403519.12,6438006.56, 6
25, 403557.29,6438747.29, 6
26, 400221.47,6452295.26, 5
26, 400314.94,6452927.44, 5
27, 398862.22,6446833.14, 2
27, 399048.92,6447560.08, 2
28, 400416.61,6456949.42, 9
28, 400246.38,6457434.08, 9
29, 399323.17,6444502.04, 4
29, 399561.68,6445701.94, 4
30, 399657.72,6444726.27,10
30, 399543.03,6445401.91,10
31, 398524.94,6442934.79, 3
31, 398919.86,6443965.18, 3
32, 398771.91,6440650.60, 1
32, 398736.79,6441275.58, 1
33, 398187.79,6443961.12, 2
33, 398280.49,6444512.54, 2
34, 401587.08,6451121.51,10
34, 401429.64,6451792.01,10
35, 402584.02,6437838.45, 1
35, 402696.68,6438362.26, 1
36, 403100.39,6455287.86, 7
36, 402883.55,6455953.15, 7
37, 400819.59,6443930.69, 3
37, 400418.71,6445442.95, 3
38, 401489.41,6452631.80, 2
38, 401679.83,6453986.12, 2
39, 402180.02,6453718.48, 9
39, 401878.91,6454945.25, 9
40, 397568.22,6447787.94, 4
40, 397623.66,6449171.24, 4
