# FaultID,X,Y,Top Coal Seam
 1, 402932.16,6457081.41, 8
 1, 403285.98,6457939.15, 8
 2, 402784.55,6456981.60, 7
 2, 402637.41,6457776.78, 7
 3, 401029.77,6451422.12,10
 3, 400992.73,6452088.91,10
 4, 397895.20,6442000.94, 3
 4, 397988.72,6442919.89, 3
 5, 400381.29,6444717.06, 1
 5, 400659.13,6445722.76, 1
 6, 404319.89,6448715.57, 9
 6, 404461.69,6449433.00, 9
 7, 400440.60,6440947.32, 3
 7, 400222.57,6441816.69, 3
 8, 398986.64,6441829.67, 4
 8, 398901.05,6442673.28, 4
 9, 398527.30,6443922.13, 2
 9, 398551.04,6444805.97, 2
10, 399799.32,6453652.62, 6
10, 399665.13,6454191.05, 6
11, 402370.87,6453047.11, 4
11, 402390.59,6453627.34, 4
12, 401767.85,6437930.54, 8
12, 401559.11,6438770.11, 8
13, 400771.40,6449989.72, 7
13, 400967.89,6450667.37, 7
14, 398043.29,6448224.52,10
14, 397844.28,6449033.78,10
15, 401351.23,6444704.41, 9
15, 401262.90,6445461.55, 9
16, 403858.58,6441009.93, 2
16, 403670.05,6441476.68, 2
17, 399888.44,6452337.38,10
17, 399792.44,6452840.39,10
18, 401509.52,6437549.59, 6
18, 401661.24,6438710.22, 6
19, 402261.20,6450989.95, 8
19, 402529.20,6452253.91, 8
20, 399253.93,6450227.26, 1
20, 399208.07,6450738.16, 1
21, 400269.51,6446708.03, 8
21, 400277.23,6447368.89, 8
22, 401930.05,6452990.93, 1
22, 402200.04,6454047.48, 1
23, 398079.20,6448940.56, 6
23, 397919.99,6450003.51, 6
24, 401977.59,6442631.74, 5
24, 402063.18,6443253.72, 5
25, 401852.92,6450264.27, 4
25, 401679.63,6451191.66, 4
26, 397582.06,6444711.37, 3
26, 397532.55,6445480.21, 3
27, 399203.39,6452797.98, 2
27, 399214.80,6453394.98, 2
28, 402288.59,6442505.86, 9
28, 402632.57,6443764.82, 9
29, 397947.73,6445791.77, 8
29, 397732.72,6447072.58, 8
30, 402925.58,6437376.29, 6
30, 402695.95,6437938.09, 6
31, 401316.05,6450484.15, 1
31, 400995.10,6451863.35, 1
32, 403224.58,6447751.33, 2
32, 403140.05,6448356.70, 2
33, 400086.04,6450148.21, 7
33, 399924.30,6451071.17, 7
34, 397782.00,6443141.60, 1
34, 398194.31,6444313.80, 1
35, 397779.87,6446205.39, 4
35, 397716.37,6446729.76, 4
36, 400844.14,6452334.98, 8
36, 400841.22,6452890.45, 8
37, 401363.31,6450637.52,10
37, 401228.79,6451156.41,10
38, 399047.91,6451521.86, 8
38, 399213.55,6452114.93, 8
39, 397940.64,6449608.62, 2
39, 398164.94,6450253.70, 2
40, 399031.08,6451902.74, 1
40, 399186.89,6452842.05, 1
