# FaultID,X,Y,Top Coal Seam
 1, 398196.28,6444530.37, 6
 1, 398520.67,6445605.98, 6
 2, 399175.42,6450923.95, 3
 2, 399240.93,6451824.93, 3
 3, 401494.58,6449124.41, 2
 3, 401851.53,6450415.64, 2
 4, 403408.22,6456500.21, 2
 4, 403179.65,6457071.84, 2
 5, 401739.64,6455182.66, 2
 5, 401805.82,6455704.02, 2
 6, 401456.97,6452320.68, 7
 6, 401707.82,6453643.58, 7
 7, 398719.07,6450956.42, 8
 7, 398715.01,6451486.84, 8
 8, 398108.46,6444393.63, 7
 8, 397983.47,6445173.00, 7
 9, 399395.19,6442779.29, 4
 9, 399661.06,6443811.96, 4
10, 401796.52,6452631.31, 8
10, 401782.55,6453213.60, 8
11, 401753.80,6437802.63, 8
11, 401600.30,6438630.19, 8
12, 401652.95,6439684.91, 4
12, 401725.12,6440558.35, 4
13, 401944.87,6452995.68, 9
13, 401677.54,6454379.04, 9
14, 398714.07,6443589.85, 1
14, 398455.12,6444427.44, 1
15, 402900.95,6445203.03, 8
15, 402702.13,6445796.84, 8
16, 401265.01,6445943.15, 4
16, 401367.93,6446488.80, 4
17, 399777.09,6438607.00, 4
17, 399744.51,6439527.47, 4
18, 402355.97,6452913.31, 1
18, 402374.20,6454141.33, 1
19, 401139.32,6454669.45, 9
19, 401002.16,6455184.96, 9
20, 403887.89,6441242.86, 8
20, 403726.10,6441758.54, 8
21, 399190.20,6444964.57, 8
21, 399164.31,6445501.00, 8
22, 400614.35,6448448.12, 7
22, 400639.39,6449682.28, 7
23, 404449.42,6455905.24, 8
23, 404386.43,6456646.31, 8
24, 399678.89,6445150.76,10
24, 399832.95,6445656.78,10
25, 398186.07,6443893.89, 6
25, 398022.80,6444811.80, 6
26, 399359.61,6441898.24, 1
26, 399472.85,6442786.65, 1
27, 404469.90,6452666.93, 4
27, 404533.11,6453387.84, 4
28, 404240.05,6452930.09, 3
28, 404105.81,6453784.66, 3
29, 398575.16,6452256.62,10
29, 398792.07,6452783.99,10
30, 399042.13,6439987.42,10
30, 399027.81,6441082.75,10
31, 403836.86,6440293.69,10
31, 403979.57,6440821.94,10
32, 399651.59,6449718.79, 3
32, 399599.66,6450543.99, 3
33, 401785.72,6437862.13,10
33, 401923.10,6438554.04,10
34, 401481.67,6456819.60, 2
34, 401724.81,6457419.24, 2
35, 401874.61,6440091.79, 2
35, 401909.24,6440668.64, 2
36, 401150.65,6453496.26, 8
36, 401336.47,6454248.90, 8
37, 401137.64,6451096.23, 4
37, 401177.88,6451827.16, 4
38, 403053.52,6447645.56, 8
38, 403163.48,6448396.38, 8
39, 404554.30,6456327.75, 1
39, 404168.29,6457439.52, 1
40, 404050.85,6441386.79, 9
40, 404089.22,6442378.56, 9
